"id","edu_21","mother_edu_21","father_edu_21","age_21","race_hisp_21","ppracem.x","job_21","income_21","current_student_type_21","current_student_21","current_student1_21","college_degree_with_current_21","college_degree_obtained_21","first_gen_21","edu_20","mother_edu_20","father_edu_20","age_20","race_hisp_20","ppracem.y","job_20","income_20","current_student_type_20","current_student_20","current_student1_20","college_degree_with_current_20","college_degree_obtained_20","first_gen_20","edu_19","mother_edu_19","father_edu_19","age_19","race_hisp_19","ppracem","job_19","income_19","current_student_type_19","current_student_19","current_student1_19","college_degree_with_current_19","college_degree_obtained_19","first_gen_19"
1420,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Business Operations (including Marketing)","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,"Master’s degree","Bachelor’s degree","Bachelor’s degree","25-34","White, Non-Hispanic","White","Business Operations (including Marketing)","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,"Bachelor’s degree","Associate degree","Certificate or technical degree","45-54","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,"Master’s degree","Graduate degree","Some college but no degree","35-44","Black, Non-Hispanic","Black or African American","Education, Training, and Library","$75,000 to $99,999","Yes, as a part-time student","Doctoral degree","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1442,"Master’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Business Operations (including Marketing)","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1444,"Master’s degree","High school degree or GED","Certificate or technical degree","65-74","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,"Bachelor’s degree","High school degree or GED","High school degree or GED","35-44","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,"Master’s degree","Bachelor’s degree","High school degree or GED","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Bachelor’s degree","Associate degree","55-64","White, Non-Hispanic","White","Management","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,"Master’s degree","High school degree or GED","Some college but no degree","45-54","2+ Races, Non-Hispanic","2+ races","Education, Training, and Library","$100,000 to $149,999","Yes, as a full-time student","Doctoral degree","1","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1466,"Master’s degree","Graduate degree","Graduate degree","35-44","White, Non-Hispanic","White","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1468,"Master’s degree","Don’t know","Don’t know","25-34","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","25-34","White, Non-Hispanic","White","Architecture and Engineering","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1473,"Bachelor’s degree","Some college but no degree","Bachelor’s degree","25-34","White, Non-Hispanic","White","Office and Administrative Support","$40,000 to $49,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Associate degree","Graduate degree","45-54","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen"
1479,"Master’s degree","Graduate degree","High school degree or GED","45-54","White, Non-Hispanic","White","Education, Training, and Library","$1 to $4,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,"Master’s degree","Less than High School degree","High school degree or GED","55-64","Black, Non-Hispanic","Black or African American","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,"Bachelor’s degree","Bachelor’s degree","Graduate degree","35-44","White, Non-Hispanic","White","Computer and Mathematical","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501,"Bachelor’s degree","High school degree or GED","Less than High School degree","65-74","White, Non-Hispanic","White","Business Operations (including Marketing)","$50,000 to $74,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","High school degree or GED","Less than High School degree","55-64","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen","Graduate degree","Some college but no degree","Graduate degree","65-74","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$75,000 to $99,999","No",NA,"0","1","1","first_gen"
1514,"Bachelor’s degree","Bachelor’s degree","Graduate degree","25-34","White, Non-Hispanic","White","Farming, Forestry, and Fishing","$15,000 to $24,999","Yes, as a part-time student","Associate degree","0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1522,"Master’s degree","Certificate or technical degree","High school degree or GED","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1532,"Master’s degree","Bachelor’s degree","High school degree or GED","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,"Bachelor’s degree","High school degree or GED","Bachelor’s degree","55-64","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1540,"Bachelor’s degree","Associate degree","Graduate degree","35-44","White, Non-Hispanic","White","Office and Administrative Support","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1542,"Master’s degree","Some college but no degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Sales","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1546,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1547,"Master’s degree","Bachelor’s degree","Bachelor’s degree","65-74","White, Non-Hispanic","White","Architecture and Engineering","$75,000 to $99,999","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Bachelor’s degree","Graduate degree","25-34","White, Non-Hispanic","White","Sales","$25,000 to $39,999","Yes, as a part-time student","Associate degree","0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1551,"Master’s degree","Less than High School degree","High school degree or GED","65-74","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","Associate degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1557,"Master’s degree","Some college but no degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","65-74","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Some college but no degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1565,"Bachelor’s degree","Associate degree","Graduate degree","35-44","White, Non-Hispanic","White","Education, Training, and Library","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,"Bachelor’s degree","High school degree or GED","High school degree or GED","75+","White, Non-Hispanic","White","Sales","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1588,"Bachelor’s degree","Associate degree","Bachelor’s degree","35-44","Other, Non-Hispanic","Asian","Computer and Mathematical","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597,"Master’s degree","Certificate or technical degree","Some college but no degree","45-54","Other, Non-Hispanic","Asian","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,"Bachelor’s degree","Graduate degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1611,"Bachelor’s degree","High school degree or GED","Some college but no degree","55-64","White, Non-Hispanic","White","Management","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1614,"Bachelor’s degree","Some college but no degree","High school degree or GED","65-74","Black, Non-Hispanic","Black or African American","Management","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1620,"Master’s degree","Bachelor’s degree","Some college but no degree","45-54","White, Non-Hispanic","White","Business Operations (including Marketing)","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Farming, Forestry, and Fishing","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1627,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Management","$25,000 to $39,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1629,"Master’s degree","Associate degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Sales","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1639,"Bachelor’s degree","Bachelor’s degree","Graduate degree","45-54","White, Non-Hispanic","White","Sales","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1642,"Bachelor’s degree","Certificate or technical degree","High school degree or GED","35-44","White, Non-Hispanic","White","Office and Administrative Support","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Associate degree","Graduate degree","45-54","White, Non-Hispanic","White","Business Operations (including Marketing)","$200,000 or higher","No",NA,"0","1","1","first_gen"
1643,"Master’s degree","High school degree or GED","Bachelor’s degree","55-64","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1645,"Master’s degree","Bachelor’s degree","Graduate degree","45-54","Other, Non-Hispanic","Asian","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648,"Bachelor’s degree","Bachelor’s degree","Less than High School degree","75+","White, Non-Hispanic","White","Management","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1651,"Master’s degree","Less than High School degree","Less than High School degree","65-74","Black, Non-Hispanic","Black or African American","Community and Social Services","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1653,"Bachelor’s degree","Associate degree","Certificate or technical degree","35-44","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1654,"Bachelor’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1663,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668,"Master’s degree","Graduate degree","Graduate degree","35-44","White, Non-Hispanic","White","Health Technologist or Technician (such as paramedic, lab technician)","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1678,"Bachelor’s degree","Less than High School degree","High school degree or GED","55-64","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1681,"Master’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","cont_edu","Master’s degree","Less than High School degree","High school degree or GED","65-74","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1688,"Bachelor’s degree","Graduate degree","Bachelor’s degree","55-64","2+ Races, Non-Hispanic","2+ races","Architecture and Engineering","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1689,"Bachelor’s degree","Certificate or technical degree","Certificate or technical degree","55-64","White, Non-Hispanic","White","Transportation and Material Moving","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,"Master’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1694,"Master’s degree","High school degree or GED","High school degree or GED","65-74","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Bachelor’s degree","Graduate degree","25-34","Hispanic","White","Health Technologist or Technician (such as paramedic, lab technician)","$50,000 to $74,999","No",NA,"0","1","1","cont_edu"
1698,"Bachelor’s degree","High school degree or GED","Some college but no degree","25-34","White, Non-Hispanic","White","Business Operations (including Marketing)","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Graduate degree","Graduate degree","55-64","White, Non-Hispanic","White","Architecture and Engineering","$150,000 to $199,999","No",NA,"0","1","1","cont_edu"
1700,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen","Master’s degree","Bachelor’s degree","Graduate degree","35-44","Other, Non-Hispanic","Asian","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, v","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1701,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Education, Training, and Library","$5,000 to $14,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","Certificate or technical degree","High school degree or GED","65-74","Black, Non-Hispanic","Black or African American","Protective Service","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1711,"Master’s degree","Certificate or technical degree","Associate degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$200,000 or higher","Yes, as a part-time student","Master’s degree","1","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1719,"Bachelor’s degree","Some college but no degree","High school degree or GED","65-74","White, Non-Hispanic","White","Building and Grounds Cleaning and Maintenance","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1720,"Master’s degree","Associate degree","Graduate degree","55-64","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1724,"Bachelor’s degree","Associate degree","Certificate or technical degree","45-54","White, Non-Hispanic","White","Lawyer, judge","$75,000 to $99,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","High school degree or GED","Bachelor’s degree","35-44","2+ Races, Non-Hispanic","2+ races","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, v","$100,000 to $149,999","No",NA,"0","1","1","cont_edu","Graduate degree","Graduate degree","Graduate degree","25-34","White, Non-Hispanic","White","Health Care Support (such as nursing aide, orderly, dental assistant)","$1 to $4,999","Yes, as a full-time student","Associate degree","0","1","1","cont_edu"
1726,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","2+ Races, Non-Hispanic","2+ races","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1737,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","65-74","White, Non-Hispanic","White","Life, Physical, and Social Sciences","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1738,"Bachelor’s degree","Associate degree","Some college but no degree","65-74","White, Non-Hispanic","White","Personal Care and Service","$25,000 to $39,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,"Bachelor’s degree","Some college but no degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Sales","$200,000 or higher","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Less than High School degree","High school degree or GED","55-64","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1748,"Bachelor’s degree","Some college but no degree","Certificate or technical degree","45-54","Hispanic","White","Management","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1749,"Bachelor’s degree","Less than High School degree","Less than High School degree","55-64","Other, Non-Hispanic","American Indian or Alaska Native","Management","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1752,"Bachelor’s degree","Bachelor’s degree","Graduate degree","45-54","White, Non-Hispanic","White","Sales","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1797,"Bachelor’s degree","Bachelor’s degree","High school degree or GED","45-54","White, Non-Hispanic","White","Arts, Design, Entertainment, Sports, and Media","$25,000 to $39,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1800,"Bachelor’s degree","High school degree or GED","Bachelor’s degree","55-64","White, Non-Hispanic","White","Office and Administrative Support","$15,000 to $24,999","Yes, as a full-time student","Master’s degree","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1801,"Master’s degree","Less than High School degree","High school degree or GED","65-74","White, Non-Hispanic","White","Community and Social Services","$1 to $4,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1812,"Bachelor’s degree","High school degree or GED","Less than High School degree","65-74","Black, Non-Hispanic","Black or African American","Personal Care and Service","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
